entry_id,source_entry_id,person_id,normalization input,listed as,book,author,edition,year
Equiano-Interesting-7-0563,Equiano-Interesting-7-0563,Equiano-Interesting-7-0563,Mr. William Anderson,Mr. William Anderson,Interesting Narrative,"Equiano, Olaudah",7,1793
Equiano-Interesting-7-0564,Equiano-Interesting-7-0564,Equiano-Interesting-7-0564,Mr. John Anderson,Mr. John Anderson,Interesting Narrative,"Equiano, Olaudah",7,1793
Equiano-Interesting-7-0565,Equiano-Interesting-7-0565,Equiano-Interesting-7-0565,"Mr. J. Anderson, Leith","Mr. J. Anderson, Leith",Interesting Narrative,"Equiano, Olaudah",7,1793
Equiano-Interesting-7-0566,Equiano-Interesting-7-0566,Equiano-Interesting-7-0566,"Dr. J. Anderson, Leith","Dr. J. Anderson, Leith",Interesting Narrative,"Equiano, Olaudah",7,1793
Equiano-Interesting-7-0567,Equiano-Interesting-7-0567,Equiano-Interesting-7-0567,"Alexander Abercrombie, Esq. W. S.","Alexander Abercrombie, Esq. W. S.",Interesting Narrative,"Equiano, Olaudah",7,1793
Equiano-Interesting-7-0568,Equiano-Interesting-7-0568,Equiano-Interesting-7-0568,Mr. Adam Brooks,Mr. Adam Brooks,Interesting Narrative,"Equiano, Olaudah",7,1793
Equiano-Interesting-7-0569,Equiano-Interesting-7-0569,Equiano-Interesting-7-0569,Rev. Mr. Buchanan,Rev. Mr. Buchanan,Interesting Narrative,"Equiano, Olaudah",7,1793
Equiano-Interesting-7-0570,Equiano-Interesting-7-0570,Equiano-Interesting-7-0570,Mr. James Bonar,Mr. James Bonar,Interesting Narrative,"Equiano, Olaudah",7,1793
Equiano-Interesting-7-0571,Equiano-Interesting-7-0571,Equiano-Interesting-7-0571,Mr. Braidwood,Mr. Braidwood,Interesting Narrative,"Equiano, Olaudah",7,1793
Equiano-Interesting-7-0572,Equiano-Interesting-7-0572,Equiano-Interesting-7-0572,Mr. John Baxter,Mr. John Baxter,Interesting Narrative,"Equiano, Olaudah",7,1793
Equiano-Interesting-7-0573,Equiano-Interesting-7-0573,Equiano-Interesting-7-0573,Mr. John Buchan,Mr. John Buchan,Interesting Narrative,"Equiano, Olaudah",7,1793
Equiano-Interesting-7-0574,Equiano-Interesting-7-0574,Equiano-Interesting-7-0574,Mr. Elphonston Balfour,Mr. Elphonston Balfour,Interesting Narrative,"Equiano, Olaudah",7,1793
Equiano-Interesting-7-0575,Equiano-Interesting-7-0575,Equiano-Interesting-7-0575,"Bailie Brown,Esq.Paisley","Bailie Brown,Esq.Paisley",Interesting Narrative,"Equiano, Olaudah",7,1793
Equiano-Interesting-7-0576,Equiano-Interesting-7-0576,Equiano-Interesting-7-0576,Rev Mr Balfour Glasgow,Rev Mr Balfour Glasgow,Interesting Narrative,"Equiano, Olaudah",7,1793
Equiano-Interesting-7-0577,Equiano-Interesting-7-0577,Equiano-Interesting-7-0577,"Mr. Andrew Blane, W .S.","Mr. Andrew Blane, W .S.",Interesting Narrative,"Equiano, Olaudah",7,1793
Equiano-Interesting-7-0578,Equiano-Interesting-7-0578,Equiano-Interesting-7-0578,"Messrs. Brash & Reid, do.","Messrs. Brash & Reid, do.",Interesting Narrative,"Equiano, Olaudah",7,1793
Equiano-Interesting-7-0579,Equiano-Interesting-7-0579,Equiano-Interesting-7-0579,"Messrs.Bole & Sott,do.","Messrs.Bole & Sott,do.",Interesting Narrative,"Equiano, Olaudah",7,1793
Equiano-Interesting-7-0580,Equiano-Interesting-7-0580,Equiano-Interesting-7-0580,Rev. Mr. Boog of Paisley,Rev. Mr. Boog of Paisley,Interesting Narrative,"Equiano, Olaudah",7,1793
Equiano-Interesting-7-0581,Equiano-Interesting-7-0581,Equiano-Interesting-7-0581,"Baillie Brown, ditto","Baillie Brown, ditto",Interesting Narrative,"Equiano, Olaudah",7,1793
Equiano-Interesting-7-0582,Equiano-Interesting-7-0582,Equiano-Interesting-7-0582,Mr. John Campbell,Mr. John Campbell,Interesting Narrative,"Equiano, Olaudah",7,1793
Equiano-Interesting-7-0583,Equiano-Interesting-7-0583,Equiano-Interesting-7-0583,"Mr.John Campbell,W.S.","Mr.John Campbell,W.S.",Interesting Narrative,"Equiano, Olaudah",7,1793
Equiano-Interesting-7-0584,Equiano-Interesting-7-0584,Equiano-Interesting-7-0584,"Mr. Canon, W. S.","Mr. Canon, W. S.",Interesting Narrative,"Equiano, Olaudah",7,1793
Equiano-Interesting-7-0585,Equiano-Interesting-7-0585,Equiano-Interesting-7-0585,"Mr. Cathcart, Advocate","Mr. Cathcart, Advocate",Interesting Narrative,"Equiano, Olaudah",7,1793
Equiano-Interesting-7-0586,Equiano-Interesting-7-0586,Equiano-Interesting-7-0586,"Mr. Craigie, ditto","Mr. Craigie, ditto",Interesting Narrative,"Equiano, Olaudah",7,1793
Equiano-Interesting-7-0587,Equiano-Interesting-7-0587,Equiano-Interesting-7-0587,"Mr. Corbett, ditto","Mr. Corbett, ditto",Interesting Narrative,"Equiano, Olaudah",7,1793
Equiano-Interesting-7-0588,Equiano-Interesting-7-0588,Equiano-Interesting-7-0588,Mrs. Clark,Mrs. Clark,Interesting Narrative,"Equiano, Olaudah",7,1793
Equiano-Interesting-7-0589,Equiano-Interesting-7-0589,Equiano-Interesting-7-0589,Mr. Andrew Crombie,Mr. Andrew Crombie,Interesting Narrative,"Equiano, Olaudah",7,1793
Equiano-Interesting-7-0590,Equiano-Interesting-7-0590,Equiano-Interesting-7-0590,Mr. John Crombie,Mr. John Crombie,Interesting Narrative,"Equiano, Olaudah",7,1793
Equiano-Interesting-7-0591,Equiano-Interesting-7-0591,Equiano-Interesting-7-0591,"William Creech, Esq.","William Creech, Esq.",Interesting Narrative,"Equiano, Olaudah",7,1793
Equiano-Interesting-7-0592,Equiano-Interesting-7-0592,Equiano-Interesting-7-0592,Misses Chancellors,Misses Chancellors,Interesting Narrative,"Equiano, Olaudah",7,1793
Equiano-Interesting-7-0593,Equiano-Interesting-7-0593,Equiano-Interesting-7-0593,"Mr. J. Cochrane, Paisley","Mr. J. Cochrane, Paisley",Interesting Narrative,"Equiano, Olaudah",7,1793
Equiano-Interesting-7-0594,Equiano-Interesting-7-0594,Equiano-Interesting-7-0594,Rev Mr Colquhoun Leith,Rev Mr Colquhoun Leith,Interesting Narrative,"Equiano, Olaudah",7,1793
Equiano-Interesting-7-0595,Equiano-Interesting-7-0595,Equiano-Interesting-7-0595,Capt. Alex. Cochrane,Capt. Alex. Cochrane,Interesting Narrative,"Equiano, Olaudah",7,1793
Equiano-Interesting-7-0596,Equiano-Interesting-7-0596,Equiano-Interesting-7-0596,"James Christie, Esq.","James Christie, Esq.",Interesting Narrative,"Equiano, Olaudah",7,1793
Equiano-Interesting-7-0597,Equiano-Interesting-7-0597,Equiano-Interesting-7-0597,David Dale Esq.Glasgow,David Dale Esq.Glasgow,Interesting Narrative,"Equiano, Olaudah",7,1793
Equiano-Interesting-7-0598,Equiano-Interesting-7-0598,Equiano-Interesting-7-0598,Mr. Donaldson,Mr. Donaldson,Interesting Narrative,"Equiano, Olaudah",7,1793
Equiano-Interesting-7-0599,Equiano-Interesting-7-0599,Equiano-Interesting-7-0599,"Mr. Wm. Dallas, W. S.","Mr. Wm. Dallas, W. S.",Interesting Narrative,"Equiano, Olaudah",7,1793
Equiano-Interesting-7-0600,Equiano-Interesting-7-0600,Equiano-Interesting-7-0600,"Mr. Wm Dalziell, W. S.","Mr. Wm Dalziell, W. S.",Interesting Narrative,"Equiano, Olaudah",7,1793
Equiano-Interesting-7-0601,Equiano-Interesting-7-0601,Equiano-Interesting-7-0601,Mr. Dickson,Mr. Dickson,Interesting Narrative,"Equiano, Olaudah",7,1793
Equiano-Interesting-7-0602,Equiano-Interesting-7-0602,Equiano-Interesting-7-0602,"Hon.Hen.Erskine, D.F.","Hon.Hen.Erskine, D.F.",Interesting Narrative,"Equiano, Olaudah",7,1793
Equiano-Interesting-7-0603,Equiano-Interesting-7-0603,Equiano-Interesting-7-0603,Col. Francis Erskine,Col. Francis Erskine,Interesting Narrative,"Equiano, Olaudah",7,1793
Equiano-Interesting-7-0604,Equiano-Interesting-7-0604,Equiano-Interesting-7-0604,Rev. Dr. Erskine,Rev. Dr. Erskine,Interesting Narrative,"Equiano, Olaudah",7,1793
Equiano-Interesting-7-0605,Equiano-Interesting-7-0605,Equiano-Interesting-7-0605,Mr. John Elder,Mr. John Elder,Interesting Narrative,"Equiano, Olaudah",7,1793
Equiano-Interesting-7-0606,Equiano-Interesting-7-0606,Equiano-Interesting-7-0606,Sir William Forbes,Sir William Forbes,Interesting Narrative,"Equiano, Olaudah",7,1793
